id,title,slug,tier,description,street1,street2,city,state,zip,phone,webUrl,linkedin,categories,category_ids
584,Ascension Seton,ascension-seton,Chairman's Circle,Ascension is a faith-based healthcare organization dedicated to transformation through innovation across the continuum of care.,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
3818,Bailey Square Surgery Center,bailey-square-surgery-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Physicians","328, 198"
585,Dell Children's Medical Center of Central Texas,dell-childrens-medical-center-of-central-texas,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
3806,Heart Hospital of Austin,heart-hospital-of-austin,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3815,Lifeway Home Health,lifeway-home-health,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Home Healthcare","328, 134"
3808,North Austin Medical Center,north-austin-medical-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3807,Oakwood Surgery Center,oakwood-surgery-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Physicians","328, 198"
3817,Round Rock Medical Center,round-rock-medical-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
589,Seton Edgar B. Davis Hospital,seton-edgar-b-davis-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
591,Seton Highland Lakes Hospital,seton-highland-lakes-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
586,Seton Medical Center Austin,seton-medical-center-austin,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
587,Seton Medical Center Hays,seton-medical-center-hays,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
592,Seton Medical Center Williamson,seton-medical-center-williamson,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
594,Seton Northwest Hospital,seton-northwest-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
588,Seton Shoal Creek Hospital,seton-shoal-creek-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
590,Seton Southwest Hospital,seton-southwest-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
3811,South Austin Hospital,south-austin-hospital,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3810,St. David's Emergency Center,st-davids-emergency-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3805,St. David's HealthCare,st-davids-healthcare,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,http://www.linkedin.com/company/st-davids-healthcare,"Health Care, Hospitals, Austin Gives Member","328, 136, 690243"
3812,St. David's Medical Center,st-davids-medical-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3809,St. David's Occupational Health Services,st-davids-occupational-health-services,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Occupational Therapy","328, 182"
3816,St. David's Pavilion,st-davids-pavilion,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3813,St. David's Rehabilitation Hospital,st-davids-rehabilitation-hospital,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
593,University Medical Center Brackenridge,university-medical-center-brackenridge,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
449,AbbVie,allergan,Advocate,"Here in Austin, we support the parent company AbbVie, and the two brands Allergan Aesthetics and Allergan.  Regardless of brand, we believe in the remarkable impact confidence can have on the lives, businesses, and careers of those we serve through our history as a company built on patient-care, education and support of our customers, and our commitment to putting the patients we serve first.",12331a Riata Trace Pkwy,Building 3,Austin,TX,78759,(512) 813-2600,http://www.allergan.com/index.htm,https://www.linkedin.com/company/abbvie/,"Health Care, Health & Wellness","328, 132"
922,Baylor Scott & White Health,baylor-scott-white-health,Advocate,"Baylor Scott & White is ranked among the best hospitals in the nation once again. From cardiology to gastroenterology, there’s nothing we love Better than caring for you. Get to know the team that’s consistently ranked among the best in Texas. Make an appointment today.",300 University Boulevard,,Round Rock ,TX,78655,(512) 509-5430,http://www.baylorscottandwhite.com/,,"Health Care, Hospitals","328, 136"
2818,Luminex Corporation,luminex-corporation,Advocate,,12212 Technology Boulevard,,Austin,TX,78727,(512) 219-8020,http://www.luminexcorp.com,http://www.linkedin.com/company/luminex-corporation,"Health Care, Bio/Medical","328, 59"
810389,PMI Global Services Inc.,pmi-global-services-inc,Advocate,"Headquartered in Stamford, Connecticut and listed on the New York Stock Exchange (NYSE: PM), at PMI, we are building our future on replacing cigarettes with smoke-free products that—while not risk-free—are a better alternative than cigarette smoking.

It’s the biggest shift in our history. And it’s the right one for our consumers, our company, our shareholders, and society.

Led by science and innovation, and with the right regulatory encouragement and support from civil society, we can achieve our vision of a smoke-free future, faster.",1399 New York Ave NW,Suite 400,Washington,DC,20005,(203) 905-2410,http://www.pmi.com,https://www.linkedin.com/company/insidepmi/,"Computers, IT & Technology, Computer Equipment & Services, Health Care, Bio/Medical","323, 69, 328, 59"
4053,Texas Oncology,texas-oncology,Advocate,,4101 James Casey Street,Suite 100,Austin,TX,78745,(512) 447-2202,http://www.texasoncology.com/austin,,"Health Care, Health & Wellness","328, 132"
730,ARA Diagnostic Imaging,ara-diagnostic-imaging,Catalyst,,12554 Riata Vista Circle,,Austin,TX,78727,(512) 795-5100,http://www.ausrad.com,,"Health Care, Laboratories, Physicians","328, 150, 198"
729,Austin Radiological Association,austin-radiological-association,Catalyst,,12554 Riata Vista Circle,,Austin,TX,78727,(512) 795-5100,http://www.ausrad.com,http://www.linkedin.com/pub/ara-diagnostic-imaging/28/a05/840?trk=cws-ppw-member-0-0,"Health Care, Medical Services","328, 163"
744,Austin Radiological Association - Cedar Park,austin-radiological-association-cedar-park,Catalyst,,12554 Riata Vista Circle,,Austin,TX,78727,(512) 795-5100,http://www.ausrad.com,,"Health Care, Medical Services","328, 163"
749,Austin Regional Clinic,austin-regional-clinic,Catalyst,"Welcome to Austin Regional Clinic, a multispecialty group offering you accessible, reliable, convenient healthcare. Focusing on primary care - family practice, pediatrics, internal medicine - and 21 specialties, we stress prevention, evidence-based treatment, same-day access, long-term doctor/patient relationships and coordinated care. Founded as an association in 1980, today ARC is one of central Texas' largest professional medical groups.</p>",6210 E Hwy 290,Suite 230 ,Austin,TX,78723,(512) 421-4808,http://www.austinregionalclinic.com,https://www.linkedin.com/company/austin-regional-clinic,"Health Care, Medical Services, Physicians","328, 163, 198"
1198,Capitol Anesthesiology Association,capitol-anesthesiology-association,Catalyst,,3705 Medical Parkway,Suite 570,Austin,TX,78705,(512) 454-2554,http://www.capanes.com,,"Health Care, Physicians","328, 198"
2140,"Hanger, Inc.",hanger-inc,Catalyst,,10910 Domain Drive,Suite 300,Austin,TX,78758,(512) 777-3800,http://www.hanger.com,,"Health Care, Bio/Medical","328, 59"
4006,Texas Children's Hospital Austin,texas-childrens-hospital,Catalyst,<p>Texas Children’s Hospital North Austin Campus is more than just a new hospital; we are bringing the most advanced pediatric and women’s care to a city that is helping move the world forward. Our team of experts provides life-changing care across a diverse range of nationally ranked specialties and we have the resources and knowledge to solve even the most challenging health problems. We’ve proven it — breakthrough after breakthrough.</p>,9835 N Lake Creek Pkwy,,Austin,TX,78717,737-229-2000,http://www.texaschildrensaustin.org,https://www.linkedin.com/company/texas-children's-hospital/,"Health Care, Health & Wellness, Hospitals","328, 132, 136"
998754,Texas Children's Pavilion for Women Austin,texas-childrens-pavilion-for-women-austin,Catalyst,"<p>Texas Children’s Pavilion for Women Obstetrics &amp; Gynecology North Austin is led by Texas Children’s nationally ranked experts in partnership with Baylor College of Medicine. Our dedicated team provides comprehensive care to women in every stage of life and is excited to serve the Austin community.</p><p>We are committed to providing families the highest quality OB/GYN care available and the best possible healthcare experience at every visit.</p><p>At Texas Children’s in North Austin, our Pavilion for Women offers comprehensive Obstetrics and Gynecology services to support women’s health at every stage of life. From routine gynecological exams to advanced prenatal care and high-risk pregnancy management, our experienced team of OB/GYNs is dedicated to providing compassionate, personalized care. Located in North Austin, our facility combines the latest medical advancements with a warm, welcoming environment, making it the premier choice for women’s health in Texas. Our OB/GYN Practice &amp; Hospitalist team includes providers of all genders, including both male and female clinicians.</p>",9817 N. Lake Creek Parkway,,Austin,TX,78717,737-289-7100,https://www.texaschildrens.org/locations/texas-childrens-pavilion-for-women/obstetrics-and-gynecology-north-austin-pavilion-for,https://www.linkedin.com/company/texas-children's-hospital/,"Health Care, Health & Wellness, Hospitals","328, 132, 136"
998759,Texas Children's Pediatrics Austin,texas-childrens-pediatrics-austin,Catalyst,"<p>Pediatricians are much more than doctors – they are partners in your child’s health. At Texas Children's Pediatrics, we understand the importance of feeling completely comfortable with your child’s primary care physician. Your child’s health is our priority, and each of our more than 250 board-certified, expert pediatricians has extensive training in children’s health care.</p><p>Texas Children's Pediatrics provides the finest pediatricians dedicated to meeting the healthcare needs of infants to teenagers, and our expert physicians offer full-service pediatric care including:</p><p>Prenatal consultations</p><p>Well-child visits</p><p>Care of illnesses</p><p>Care and treatment of minor injuries</p><p>Vaccinations and immunizations</p><p>Preventative health care</p><p>School and sports physicals</p><p>Hearing and vision screening</p><p>Health care and nutrition education</p><p>With over 65 convenient locations throughout the greater Houston area, greater Austin area and College Station, we're in your neighborhood. Texas Children's Pediatrics. A name you trust. A neighbor you know.</p>",,,,,,737-229-3400,https://www.texaschildrens.org/locations/texas-childrens-pediatrics/north-austin-campus,https://www.linkedin.com/company/texas-children's-hospital/,"Health Care, Physicians","328, 198"
998750,Texas Children's Specialty Care,texas-childrens-specialty-care,Catalyst,"<p>Childhood can be unpredictable. Finding top pediatric care shouldn’t be. When your child is in need of a specialist, turn to the experts at Texas Children’s Specialty Care Austin. Working closely with your child's primary care physician, we diagnose health conditions and develop personalized treatment plans designed to meet the unique needs of young patients.</p>","8611 N. Mopac Expressway, Suite 300 ",,Austin,TX,78759,737-229-3550,https://www.texaschildrens.org/locations/texas-childrens-specialty-care/austin,https://www.linkedin.com/company/texas-children's-hospital/,"Health Care, Hospitals, Medical Services","328, 136, 163"
878551,100% Chiropractic Austin Rosedale,100-chiropractic-austin-rosedale,Build,"<p>Dr. Annie Wood is the Clinic Director at<strong> 100% Chiropractic Austin Rosedale</strong>. 100% Chiropractic is a leader in corrective chiropractic care. While we help manage symptoms like back pain, what we really specialize in is bringing your spine back to its ideal curves addressing the root causes of dysfunction, allowing your nervous system to function at 100% and restoring your body's natural ability to heal.</p><p>Dr. Annie brings a decade of dedicated chiropractic expertise across Colorado and Texas to athletes, families, and individuals seeking optimal health. Since 2013, she has specialized in sports performance and family care, holding a Webster Certification and membership in the International Chiropractic Pediatric Association (ICPA). Her experience includes proven success with CrossFit athletes, golfers, and former dancers, helping them enhance performance and recover from injuries. Dr. Wood's comprehensive approach serves patients across all life stages - from supporting athletic achievement to ensuring healthy development in children and providing specialized care for expecting mothers. Her proven track record in multiple states reflects her commitment to delivering results through natural, evidence-based care.</p><p>We offer cutting edge chiropractic care, massage therapy, and a full line of supreme quality nutritional supplements. Our incredible doctors, assistants, and therapists care about our patients and their individual health goals; and work directly with our patients to make sure they turn those goals into a reality. We offer our patients include Corrective Care, Family Wellness, Personal Injury (Auto Accident), Prenatal, and Pediatric, as well as Massage Therapy. At 100% Chiropractic, we don’t just treat pain—we work to educate, inspire, empower, and provide lasting care for our patients to live their lives to their fullest potential.</p><p>We offer the chiropractic care families are wanting, and the legendary 100% customer service they deserve. We encourage everyone to truly live life at 100%!</p>",3800 N Lamar Blvd,Suite 160,Austin,TX,78756,512-638-8544,https://100percentchiropractic.com/locations/austin-rosedale-tx/,,"Health Care, Chiropractors","328, 64"
452093,360 MD Integrative Primary Care,360-md,Build,"<p><strong>360 MD</strong> is a concierge primary care, medical weight loss, and longevity clinic in Central Austin. We combine evidence-based medicine with holistic, functional, and integrative care to support the whole person—mind, body, and spirit.</p><p>Our services include primary care, medically managed weight loss, performance optimization, men’s health, hormone replacement therapy, peptides, and functional nutrition. We believe great healthcare starts with a trusted relationship, our membership model allows us to provide transparent quality care.</p><p>We also offer a full-service medical spa with advanced aesthetic treatments that deliver real, instant natural-looking results for both men and women.</p><p>At <strong>360 MD</strong>, we’re committed to helping you feel your best, look your best, and live life to the fullest.</p>",511 W 15th St,,Austin,TX,78701,512-582-2338,https://www.360mdaustin.com/,https://www.linkedin.com/company/austin360md,"Health Care, Health & Wellness, Physicians","328, 132, 198"
370,Abbott,abbott,Build,,8701 Bee Cave Rd,Building West,Austin,TX,78746,(512) 286-4432,http://www.abbott.com/,,"Health Care, Medical Supplies & Equipment","328, 164"
443747,Advanced Pain Care,advanced-pain-care,Build,"Advanced Pain Care opened its doors in 2002 and has been providing safe, effective pain management and care to our patients ever since. We are dedicated to improving the quality of life for those in pain, and at APC you will work with caring, compassionate providers to develop a comprehensive plan of care individualized to fit your unique therapeutic goals. Our multi-disciplinary team of physicians and staff is highly qualified, with certifications in over 15 specialties of pain care, nursing, and behavioral and psychological health.",6000 S MoPac Expy,Suite 200,Austin,TX,78749,(512) 244-4272,http://www.austinpaindoctor.com,https://www.linkedin.com/company/advanced-pain-care/,"Health Care, Hospitals, Medical Services","328, 136, 163"
946582,Alchemy Collective,alchemy-collective,Build,"Welcome to Alchemy Collective, a place of healing and transformation for those seeking to overcome the effects of trauma & dissociation, substance use, and chronic pain. At our center, we understand that the journey to recovery is unique for each individual, and our compassionate and experienced team is here to support you every step of the way.  We are invested in getting to the root cause as opposed to symptom management and helping you ""cope better"".  You deserve more than a bandaid, and we aim to guide you to your own inner healer.  

We embrace a holistic approach, integrating the wisdom of the mind and body.  Together, we'll work towards reclaiming your sense of well-being and empowering you to lead a life free from the shadows of the past.",5804 Magee Bend,,Austin,tx,78749,512-730-9495,https://www.alchemycollectiveaustin.com,,"Health Care, Health & Wellness, Occupational Therapy","328, 132, 182"
844642,Austin Sports Medicine - Central,austin-sports-medicine-central,Build,Austin Sports Medicine specializes in comprehensive orthopedic care and physical medicine for all active lifestyle and sports-related injuries.,900 W 38th St,Suite 300,Austin,TX,78705,(512) 450-1300,http://www.austinsportsmed.com,,"Health Care, Medical Services","328, 163"
968440,BODYBAR Pilates South Lamar,new-path-holdings-llc-dba-bodybar-pilates-south-lamar,Build,"If you’re looking for a Pilates workout that challenges your body and connects you with the community, step up to the BAR! At BODYBAR on South Lamar, Pilates is our happy hour. With our modern approach to group fitness classes that’s rooted in Reformer Pilates techniques, we create a fitness experience that’s modern, fun, and effective for anyone. Our clean, spa-like studio and skilled instructors promote a sense of community, helping you achieve your wellness goals while building lasting friendships. Get started today!!",3005 South Lamar Boulevard,Suite B-105A,Austin,TX,78704,1512-212-7733,https://bodybarpilates.com/studios/south-lamar/,,"Health Care, Health & Wellness, Sports & Recreation","328, 132, 303"
788877,Carbon Health,carbon-health,Build,,3300 Bee Caves Rd,,Austin,TX,78746,(512) 910-2654,https://carbonhealth.com/,https://www.linkedin.com/company/carbon-health,Health Care,328
977245,Central Texas Holistic Health,central-texas-holistic-health,Build,"Central Texas Holistic Health was founded by Eva and Andie, two passionate practitioners with a shared vision: to bring compassionate, whole-person care to the heart of Central Texas. Rooted in a deep respect for both modern science and natural healing, they created a space where patients are truly heard, empowered, and supported on every step of their wellness journey.

Eva and Andie combined their experience, expertise, and heart to build a practice that puts people first. They believe that true health comes from addressing the mind, body, and spirit—not just treating symptoms. At Central Texas Holistic Health, every person is treated as a whole human being, not just a diagnosis.",3200 Red River Street ,Suite 206 ,Austin,TX,78705,512-256-0158,https://www.ctxhh.com,https://www.linkedin.com/company/central-texas-holistic-health/,"Health Care, Health & Wellness, Urgent Care Clinic","328, 132, 244"
1016890,Fawne Acupuncture & Aesthetics - Central Austin,fawne-acupuncture-aesthetics,Build,"<p><strong>Fawne Acupuncture &amp; Aesthetics</strong> is Austin’s destination for integrative fertility care, women’s health, and natural aesthetics. Founded by Dr. Lindsay Drerup, DACM, Fawne blends evidence-based acupuncture with modern wellness therapies to support hormone balance, IVF/IUI cycles, pregnancy, postpartum recovery, and whole-body vitality. With a calming, elevated spa-like environment, Fawne offers personalized care designed to help patients feel balanced, confident, and empowered in every stage of life.</p>",4107 Medical Parkway,Suite 202,Austin,Tx,78756,5127383757,HTTPS://fawneaustin.com,,"Health Care, Bio/Medical, Health & Wellness","328, 59, 132"
1023224,Fawne Acupuncture & Aesthetics - Oak Hill,fawne-acupuncture-aesthetics-oak-hill,Build,"<p><strong>Fawne Acupuncture &amp; Aesthetics</strong> is Austin’s destination for integrative fertility care, women’s health, and natural aesthetics. Founded by Dr. Lindsay Drerup, DACM, Fawne blends evidence-based acupuncture with modern wellness therapies to support hormone balance, IVF/IUI cycles, pregnancy, postpartum recovery, and whole-body vitality. With a calming, elevated spa-like environment, Fawne offers personalized care designed to help patients feel balanced, confident, and empowered in every stage of life.</p>",5301 Southwest Parkway,"Uplands II, Suite 350",Austin,TX,78735,512-738-3757,https://fawneaustin.com,,"Health Care, Bio/Medical, Health & Wellness","328, 59, 132"
977148,"Marbridge Foundation, Inc.",marbridge-foundation-inc,Build,"Marbridge is nestled on over 200 acres,  just 13 miles south of downtown Austin, Texas. Marbridge provides a distinct alternative to group homes for adults with intellectual disabilities, offering a full spectrum of services tailored to individual needs and abilities. Each of our three communities — The Ranch, The Village, and The Villa — provide a different level of care, support, and guidance.",2310 Bliss Spillar Road,,Manchaca,TX,78652,512-282-1144,https://www.marbridge.org/,,"Family, Community & Non-Profit, Non Profit Organizations, Health Care, Assisted & Independent Living","325, 180, 328, 52"
742819,Meadows Behavioral Health,meadows-behavioral-health,Build,"The Meadows Outpatient program is a proud member of Meadows Behavioral Healthcare, the industry leader in evidence-based treatment for everything from emotional trauma and drug and alcohol addiction to sex addiction, intimacy issues, and eating disorders. MBH offers a full continuum of programs, personalized treatment plans, and services.

The Meadows Outpatient Centers provide the same level of clinical excellence and integrity found at Meadows inpatient programs, but with outpatient flexibility. All of our clinical staff are trained in the “Meadows Model” of trauma-informed care and ready to help you address a wide range of issues including addiction, trauma, and other co-occurring behavioral health conditions.",3721 Executive Center Dr,,Austin,TX,78731,866 356 9801,https://meadowsoutpatient.com/locations/austin-texas/,,"Health Care, Hospitals","328, 136"
940675,Pearce Plastic Surgery,pearce-plastic-surgery-1,Build,<p>Dr Paul Pearce is a board certified plastic surgeon serving the Austin Texas area since 2018 with a focus on breast and body contouring for women along with a sub specialty for male aesthetics. Dr Pearce is also involved in serving the community with reconstructive surgery at St Davids South Austin Medical Center helping to educate surgical residents in the field of plastic surgery as well as at St Davids Round Rock.</p>,1600 W 38th St,Ste 300,Austin,TX,78731,5127649076,https://www.pearceplasticsurgery.com,,"Health Care, Physicians","328, 198"
565527,"Sodalis Senior Living, Austin",sodalis-senior-living-austin,Build,"Sodalis Senior Living communities empower people to live their best lives remaining active and engaged in the things they care about. An innovative approach to wellbeing offers support when it’s needed, tailored to a resident’s specific situation and priorities.",7017 Menchaca Rd,,Austin,TX,78745,4095492233,https://sodalissenior.com/austin/,https://www.linkedin.com/company/sodalis-elder-living/,"Health Care, Home Healthcare","328, 134"
688719,Suvida Healthcare,suvida-healthcare,Build,"Suvida Healthcare is building a better healthcare system for Hispanic seniors and their families, right inside their neighborhoods.

Rooted in trust, respect, and community engagement, Suvida delivers senior-focused primary care in a warm, comfortable environment where physicians and other healthcare professionals can care for patients in ways they always dreamed.",211 E 7th St,Suite 700,Austin,TX,78701,8662788432,https://www.suvidahealthcare.com/,https://www.linkedin.com/company/suvida-healthcare/?viewAsMember=true,Health Care,328
940679,Texas Hair Restoration Center,texas-hair-restoration-center,Build,"<p>Texas Hair Restoration Center, with board certified plastic surgeon Dr Paul Pearce, has been serving the Austin area since 2018 with a focus on hair restoration through both medical and surgical options. Dr Pearce treats both men and women with hair loss helping to restore their confidence for years to come. </p>",1600 W 38th St,Ste 300,Austin,TX,78731,5127649076,https://www.texashairrestorationcenter.com,,"Health Care, Physicians","328, 198"
508512,TruFusion,trufusion,Build,"TruFusion is an all-encompassing fitness and yoga boutique that is disrupting the industry nationwide. The franchise has developed its popularity by offering the largest array of training, workshops, and group classes taught by celebrated industry professionals across the nation. TruFusion is revolutionizing the member experience with unlimited yoga, pilates, kettlebell, cycling, barre, bootcamp, boxing, and more, all under one roof for one price. Whatever your mood, TruFusion has a class for that.",4211 S Lamar Blvd,,Austin,TX,78704,512.893.3878,https://trufusion.com/southaustin,,"Health Care, Health & Wellness","328, 132"
904960,VVater,vvater,Build,"With our groundbreaking and innovative technology, we’ve cracked the code and found new ways to treat water without chemicals, biologicals, membranes, or filters. This enables us to share the life-giving ability of pure water with people and places everywhere.

At VVater we focus on more than engineering next-generation water treatment technology. We act as a vanguard of sustainability, offering a promise of a better, healthier tomorrow.",110 Wild Basin Rd S 250,,Austin,TX,78746,5122651616,https://www.vvater.com,https://www.linkedin.com/company/vvaterglobal,"Health Care, Bio/Medical, Other, Water Treatment Services","328, 59, 304, 251"
4560,Westminster,westminster,Build,Westminster is progressive senior living. We’ve combined contemporary design innovation with high-quality health service as part of our unique Life Care concept. Experience Westminster retirement community in Austin's most desirable location.,4100 Jackson Avenue,,Austin,TX,78731,,,,"Health Care, Assisted & Independent Living","328, 52"
